Year,Game,Total Prize Money (Year),Number of Players,Number of Tournaments
2005,Project Gotham Racing 2,$0.00 ,3,1
2005,Street Fighter III: 3rd Strike,$0.00 ,3,1
2005,Super Street Fighter II Turbo,$0.00 ,3,1
2005,Tekken 5,$0.00 ,3,8
2005,Tekken Tag Tournament,$0.00 ,3,1
2004,Counter-Strike,"$902,651.67 ",707,92
2004,StarCraft: Brood War,"$498,433.15 ",77,16
2004,WarCraft III,"$353,388.90 ",111,72
2004,Doom 3,"$207,748.16 ",13,3
2004,Halo: Combat Evolved,"$183,456.00 ",59,22
2004,Counter-Strike: Condition Zero,"$162,150.60 ",111,3
2004,Quake III Arena,"$111,500.00 ",35,4
2004,Unreal Tournament 2004,"$106,512.41 ",30,4
2004,Painkiller,"$55,000.00 ",18,3
2004,Call of Duty,"$50,000.00 ",51,1
2004,Age of Empires II,"$45,565.20 ",110,15
2004,FIFA 04,"$40,000.00 ",3,2
2004,Need for Speed: Underground,"$35,000.00 ",3,1
2004,Project Gotham Racing 2,"$35,000.00 ",3,1
2004,Pro Evolution Soccer 3,"$25,000.00 ",8,1
2004,Super Smash Bros. Melee,"$10,644.50 ",17,10
2004,Day of Defeat,"$10,000.00 ",18,1
2004,Age of Mythology,"$3,000.00 ",8,1
2004,Soul Calibur II,"$2,700.00 ",3,2
2004,Gran Turismo 3: A-Spec,"$1,750.00 ",3,1
2004,Capcom vs. SNK 2,$0.00 ,3,1
2004,FIFA 05,$0.00 ,0,1
2004,Guilty Gear XX,$0.00 ,3,1
2004,Live for Speed,$0.00 ,1,2
2004,Marvel vs. Capcom 2,$0.00 ,3,1
2004,Street Fighter III: 3rd Strike,$0.00 ,3,1
2004,Super Street Fighter II Turbo,$0.00 ,3,1
2004,Tekken 4,$0.00 ,3,1
2004,Tekken Tag Tournament,$0.00 ,3,1
2004,Virtua Fighter 4: Evolution,$0.00 ,3,1
2003,Counter-Strike,"$821,957.99 ",503,63
2003,StarCraft: Brood War,"$276,838.39 ",81,16
2003,WarCraft III,"$191,632.33 ",60,29
2003,Unreal Tournament 2003,"$111,773.91 ",17,8
2003,Halo: Combat Evolved,"$107,150.00 ",70,12
2003,Quake III Arena,"$95,463.46 ",26,6
2003,FIFA 03,"$54,066.44 ",10,3
2003,Age of Mythology,"$49,000.00 ",8,3
2003,Age of Empires II,"$27,697.02 ",45,21
2003,Super Smash Bros. Melee,"$15,550.00 ",8,4
2003,Tekken 4,"$12,500.00 ",3,3
2003,NASCAR Thunder 2003,"$5,933.50 ",0,1
2003,Live for Speed,"$2,491.62 ",5,1
2003,Gran Turismo 3: A-Spec,"$1,500.00 ",3,1
2003,Madden NFL 2004,"$1,500.00 ",3,1
2003,Soul Calibur II,"$1,500.00 ",6,3
2003,Day of Defeat,$880.41 ,6,1
2003,Age of Empires,$625.00 ,4,1
2003,Capcom vs. SNK 2,$0.00 ,3,2
2003,FIFA 04,$0.00 ,0,1
2003,Guilty Gear XX,$0.00 ,3,1
2003,Marvel vs. Capcom 2,$0.00 ,3,2
2003,Street Fighter III: 3rd Strike,$0.00 ,3,1
2003,Super Street Fighter II Turbo,$0.00 ,3,1
2003,Tekken Tag Tournament,$0.00 ,3,2
2003,Virtua Fighter 4: Evolution,$0.00 ,3,2
2002,Counter-Strike,"$400,994.88 ",351,14
2002,StarCraft: Brood War,"$132,944.26 ",36,10
2002,Quake III Arena,"$102,206.40 ",24,4
2002,Age of Empires II,"$92,866.00 ",37,28
2002,Return to Castle Wolfenstein,"$67,424.30 ",30,2
2002,FIFA 2002 World Cup,"$43,000.00 ",8,1
2002,Unreal Tournament,"$43,000.00 ",8,2
2002,Unreal Tournament 2003,"$34,000.00 ",18,5
2002,WarCraft III,"$31,285.25 ",12,4
2002,NASCAR Thunder 2002,"$7,679.25 ",0,1
2002,Star Wars Jedi Knight II: Jedi Outcast,"$7,679.25 ",0,1
2002,Halo: Combat Evolved,"$5,000.00 ",21,2
2002,Age of Empires,$100.00 ,3,1
2002,Super Smash Bros. Melee,$40.00 ,4,2
2002,Capcom vs. SNK 2,$0.00 ,3,1
2002,Marvel vs. Capcom 2,$0.00 ,3,1
2002,Super Street Fighter II Turbo,$0.00 ,3,1
2001,Counter-Strike,"$346,592.44 ",222,13
2001,Age of Empires II,"$160,541.29 ",48,17
2001,Quake III Arena,"$147,736.74 ",48,14
2001,StarCraft: Brood War,"$91,893.99 ",50,9
2001,FIFA 2001,"$46,000.00 ",9,2
2001,Unreal Tournament,"$46,000.00 ",9,2
2001,Aliens versus Predator 2,"$40,000.00 ",1,1
2001,QuakeWorld,"$15,000.00 ",8,1
2001,Capcom vs. SNK,$0.00 ,3,1
2001,Marvel vs. Capcom 2,$0.00 ,3,1
2001,Street Fighter Alpha 3,$0.00 ,3,1
2001,Super Street Fighter II Turbo,$0.00 ,3,1
2000,Quake III Arena,"$415,237.82 ",97,28
2000,StarCraft: Brood War,"$133,038.04 ",47,10
2000,Age of Empires II,"$113,768.30 ",37,16
2000,FIFA 2000,"$50,000.00 ",4,1
2000,Counter-Strike,"$23,763.33 ",62,2
2000,Age of Empires,"$9,500.00 ",4,1
2000,Doom II: Hell on Earth,$0.00 ,3,1
2000,Marvel vs. Capcom 2,$0.00 ,3,1
2000,Street Fighter Alpha 2,$0.00 ,3,1
2000,Street Fighter Alpha 3,$0.00 ,3,1
2000,Street Fighter III: 3rd Strike,$0.00 ,3,1
2000,Super Street Fighter II Turbo,$0.00 ,3,1
1999,StarCraft: Brood War,"$139,553.84 ",40,11
1999,Descent 3,"$50,000.00 ",1,1
1999,Quake III Arena,"$43,200.00 ",15,2
1999,Quake II,"$42,400.00 ",12,2
1998,Quake II,"$66,200.00 ",16,4
1998,QuakeWorld,"$43,500.00 ",12,3
1998,StarCraft: Brood War,"$20,000.00 ",8,1
1998,Age of Empires,"$2,000.00 ",1,1
